T,K,Type,Market,Model,Err,IV_Mkt,IV_Model
0.938,655.0,PUT,30.17,29.59,-0.58,0.206,0.2036
0.938,750.0,CALL,24.38,25.64,1.26,0.1511,0.1561
0.938,815.0,CALL,6.6,6.75,0.15,0.132,0.1329
0.938,880.0,CALL,1.6,1.43,-0.17,0.1285,0.1259
1.111,535.0,PUT,12.91,12.71,-0.19,0.2643,0.263
1.111,600.0,PUT,21.86,21.59,-0.27,0.2329,0.2316
1.111,665.0,PUT,36.33,35.75,-0.58,0.203,0.2008
1.111,760.0,CALL,26.45,27.82,1.37,0.154,0.159
1.111,825.0,CALL,8.27,8.7,0.43,0.1353,0.1376
1.111,895.0,CALL,2.13,1.94,-0.19,0.1305,0.1281
