Type,T,K,Mkt,Ana,Err_A,MC,Err_MC,IV_Mkt,r_used,q_used
PUT,1.0458590006844628,5600.0,144.35000000000002,145.72,1.37,142.9,-1.45,0.2531840390661267,0.0401,0.011
PUT,1.0458590006844628,6175.0,228.85,228.05,-0.8,218.89,-9.96,0.22390145591244937,0.0401,0.011
PUT,1.0458590006844628,6925.0,406.04999999999995,404.57,-1.48,383.92,-22.13,0.18475359810930073,0.0401,0.011
CALL,1.0458590006844628,6950.0,609.5,607.31,-2.19,586.28,-23.22,0.18372809722013592,0.0401,0.011
CALL,1.0458590006844628,7400.0,348.04999999999995,348.16,0.11,322.42,-25.63,0.16059783262076263,0.0401,0.011
CALL,1.0458590006844628,7700.0,216.9,216.18,-0.72,192.04,-24.86,0.14787540835503477,0.0401,0.011
CALL,1.0458590006844628,8000.0,125.55,123.29,-2.26,105.58,-19.97,0.13850153385495634,0.0401,0.011
PUT,1.1225188227241616,5225.0,114.8,115.51,0.71,112.76,-2.04,0.27139092582560975,0.0401,0.0113
PUT,1.1225188227241616,5700.0,167.05,167.61,0.56,160.49,-6.56,0.2469762352636385,0.0401,0.0113
PUT,1.1225188227241616,6200.0,246.65,244.56,-2.09,230.89,-15.76,0.2226606678372658,0.0401,0.0113
PUT,1.1225188227241616,6925.0,421.75,418.8,-2.95,393.05,-28.7,0.1863307693286796,0.0401,0.0113
CALL,1.1225188227241616,6950.0,637.3,634.52,-2.78,608.37,-28.93,0.1850326104120719,0.0401,0.0113
CALL,1.1225188227241616,7325.0,414.8,414.08,-0.72,383.27,-31.53,0.1663476498527323,0.0401,0.0113
CALL,1.1225188227241616,7600.0,281.5,281.43,-0.07,250.57,-30.93,0.154035181407934,0.0401,0.0113
CALL,1.1225188227241616,7900.0,172.05,170.81,-1.24,144.95,-27.1,0.14332980294022823,0.0401,0.0113
PUT,1.3689253935660506,5225.0,139.0,139.28,0.28,128.17,-10.83,0.2660844971773384,0.0403,0.0114
PUT,1.3689253935660506,5650.0,190.65,190.21,-0.44,173.42,-17.23,0.24650971214950704,0.0403,0.0114
PUT,1.3689253935660506,6175.0,278.4,275.36,-3.04,249.61,-28.79,0.2233961182378536,0.0403,0.0114
PUT,1.3689253935660506,6925.0,463.1,459.75,-3.35,418.94,-44.16,0.1898463865951557,0.0403,0.0114
CALL,1.3689253935660506,6950.0,723.5,722.02,-1.48,680.75,-42.75,0.18814484205258683,0.0403,0.0114
CALL,1.3689253935660506,7350.0,487.0,488.83,1.83,441.7,-45.3,0.170220494901281,0.0403,0.0114
CALL,1.3689253935660506,7650.0,339.3,342.62,3.32,295.03,-44.27,0.1579832933736306,0.0403,0.0114
CALL,1.3689253935660506,7900.0,240.14999999999998,243.14,2.99,199.28,-40.87,0.14925281445077726,0.0403,0.0114
CALL,1.3689253935660506,8600.0,76.75,77.06,0.31,56.85,-19.9,0.1336168008916895,0.0403,0.0114
PUT,1.8699520876112252,5250.0,188.0,185.6,-2.4,158.41,-29.59,0.25900859911938096,0.0405,0.0116
PUT,1.8699520876112252,5650.0,246.10000000000002,241.89,-4.21,206.64,-39.46,0.24379210286513567,0.0405,0.0116
PUT,1.8699520876112252,6150.0,338.9,331.97,-6.93,285.03,-53.87,0.22536698912574482,0.0405,0.0116
PUT,1.8699520876112252,6900.0,527.2,522.05,-5.15,456.21,-70.99,0.1971126897040112,0.0405,0.0116
CALL,1.8699520876112252,6950.0,885.75,885.07,-0.68,818.06,-67.69,0.19406807672992815,0.0405,0.0116
CALL,1.8699520876112252,7450.0,595.75,602.75,7.0,526.71,-69.04,0.17497345715263918,0.0405,0.0116
CALL,1.8699520876112252,7800.0,425.4,436.55,11.15,359.42,-65.98,0.16275045620177792,0.0405,0.0116
CALL,1.8699520876112252,8100.0,305.6,317.96,12.36,245.3,-60.3,0.1535801261767481,0.0405,0.0116
CALL,1.8699520876112252,8600.0,162.7,172.5,9.8,118.19,-44.51,0.14175678022686455,0.0405,0.0116
