T,K,Type,Market,Spread,Model,Err,IV_Mkt,IV_Model
0.088,7050.0,CALL,52.45,0.5,58.98,6.53,0.1313,0.1403
0.09,6525.0,PUT,43.05,0.5,39.15,-3.9,0.2129,0.2055
0.099,5850.0,PUT,11.0,0.2,4.49,-6.51,0.3108,0.2659
0.099,6350.0,PUT,31.5,0.4,25.0,-6.5,0.2381,0.2225
0.099,6580.0,PUT,55.5,0.6,51.47,-4.03,0.2057,0.1992
0.099,6740.0,PUT,84.9,0.6,83.13,-1.77,0.1834,0.1811
0.099,6910.0,CALL,136.2,0.8,139.0,2.8,0.1562,0.1594
0.099,7075.0,CALL,52.75,0.5,56.06,3.31,0.133,0.1374
0.099,7325.0,CALL,5.95,0.3,6.88,0.93,0.1152,0.1188
0.107,6475.0,PUT,44.55,0.5,41.17,-3.38,0.2158,0.2097
0.107,6975.0,CALL,101.4,0.6,107.84,6.44,0.1434,0.1507
0.118,5275.0,PUT,6.3,0.2,1.05,-5.25,0.3892,0.3081
0.118,5660.0,PUT,10.6,0.4,3.94,-6.66,0.3287,0.2792
0.118,5825.0,PUT,14.15,0.3,6.73,-7.42,0.306,0.2663
0.118,5990.0,PUT,18.8,0.4,11.29,-7.51,0.2822,0.253
0.118,6160.0,PUT,27.0,1.8,18.85,-8.15,0.2613,0.2385
0.118,6300.0,PUT,35.1,0.4,28.34,-6.76,0.2408,0.2259
0.118,6395.0,PUT,43.5,0.4,37.1,-6.4,0.2289,0.217
0.118,6495.0,PUT,53.65,0.7,48.98,-4.67,0.2146,0.2071
0.118,6595.0,PUT,68.85,0.5,64.28,-4.57,0.203,0.1967
0.118,6695.0,PUT,86.7,0.6,83.92,-2.78,0.189,0.1856
0.118,6795.0,PUT,108.35,0.9,109.09,0.74,0.173,0.1738
0.118,6895.0,CALL,160.0,1.0,162.58,2.58,0.1585,0.1613
0.118,6990.0,CALL,105.35,0.5,107.37,2.02,0.1467,0.1488
0.118,7090.0,CALL,59.8,0.4,61.42,1.62,0.1343,0.1362
0.118,7190.0,CALL,29.1,0.8,30.66,1.56,0.1236,0.1261
0.118,7330.0,CALL,9.65,0.3,10.06,0.41,0.1177,0.1189
0.118,7500.0,CALL,2.47,0.15,2.5,0.02,0.1181,0.1183
0.137,5700.0,PUT,14.45,0.5,6.87,-7.58,0.3146,0.2746
0.137,6300.0,PUT,41.75,0.5,35.45,-6.3,0.2366,0.2247
0.137,6670.0,PUT,90.7,0.8,88.77,-1.93,0.1899,0.1877
0.137,6830.0,PUT,129.55,0.7,130.0,0.45,0.1687,0.1692
0.137,7000.0,CALL,112.5,0.6,114.41,1.91,0.146,0.1479
0.137,7200.0,CALL,35.3,0.4,35.91,0.61,0.1253,0.1261
0.148,5200.0,PUT,8.35,0.3,1.98,-6.37,0.3804,0.3108
0.148,5390.0,PUT,10.35,0.3,3.49,-6.86,0.3517,0.297
0.148,5550.0,PUT,12.8,0.2,5.53,-7.27,0.3292,0.2852
0.148,5680.0,PUT,15.4,0.4,7.95,-7.45,0.3115,0.2753
0.148,5785.0,PUT,18.0,0.4,10.58,-7.42,0.2973,0.2672
0.148,5910.0,PUT,21.6,0.4,14.75,-6.85,0.2799,0.2573
0.148,6075.0,PUT,29.4,0.4,22.58,-6.82,0.2608,0.2437
0.148,6200.0,PUT,37.2,0.4,30.9,-6.3,0.2459,0.233
0.148,6300.0,PUT,44.9,0.4,39.49,-5.41,0.2336,0.2241
0.148,6400.0,PUT,54.55,0.5,50.25,-4.3,0.2213,0.2148
0.148,6500.0,PUT,67.15,0.5,63.65,-3.5,0.2097,0.205
0.148,6600.0,PUT,82.1,0.8,80.32,-1.78,0.1969,0.1948
0.148,6700.0,PUT,101.1,0.6,101.02,-0.08,0.1841,0.184
0.148,6795.0,PUT,123.7,1.0,125.36,1.66,0.1715,0.1731
0.148,6895.0,CALL,179.45,0.7,182.97,3.52,0.1578,0.1611
0.148,6995.0,CALL,120.0,0.8,123.79,3.79,0.1452,0.1488
0.148,7095.0,CALL,72.4,0.6,75.78,3.38,0.1334,0.1369
0.148,7195.0,CALL,39.4,0.4,41.59,2.19,0.1243,0.1271
0.148,7295.0,CALL,19.7,0.4,21.1,1.4,0.1184,0.1209
0.148,7390.0,CALL,9.75,0.5,10.79,1.04,0.1155,0.1182
0.148,7490.0,CALL,4.7,0.2,5.33,0.63,0.1152,0.1179
0.148,7640.0,CALL,1.75,0.2,1.89,0.14,0.1185,0.1198
0.194,5275.0,PUT,14.05,0.3,5.89,-8.16,0.3492,0.3019
0.194,5730.0,PUT,24.8,0.4,16.81,-7.99,0.2922,0.2684
0.194,5900.0,PUT,31.75,0.3,24.34,-7.41,0.2725,0.2552
0.194,6060.0,PUT,40.65,0.3,34.13,-6.52,0.2545,0.2423
0.194,6225.0,PUT,52.95,0.5,47.92,-5.03,0.236,0.2284
0.194,6390.0,PUT,69.3,0.8,66.71,-2.59,0.2169,0.2137
0.194,6490.0,PUT,82.95,0.7,81.22,-1.73,0.2063,0.2043
0.194,6590.0,PUT,98.45,0.9,98.66,0.21,0.1943,0.1945
0.194,6690.0,PUT,117.6,1.0,119.68,2.08,0.1824,0.1843
0.194,6785.0,PUT,141.8,0.8,143.69,1.89,0.1725,0.1742
0.194,6885.0,PUT,171.7,0.6,174.3,2.6,0.1609,0.1631
0.194,6985.0,CALL,158.0,0.8,159.25,1.25,0.1507,0.1518
0.194,7085.0,CALL,105.6,0.6,106.77,1.17,0.1397,0.1407
0.194,7200.0,CALL,60.75,0.5,60.87,0.12,0.1295,0.1296
0.194,7370.0,CALL,22.25,0.5,22.93,0.68,0.1189,0.12
0.194,7575.0,CALL,6.1,0.4,6.82,0.72,0.1157,0.1182
0.23,5370.0,PUT,20.05,0.5,11.27,-8.78,0.3265,0.2927
0.23,5590.0,PUT,26.05,0.5,17.65,-8.4,0.3009,0.2767
0.23,5840.0,PUT,36.35,0.5,28.79,-7.56,0.2736,0.2578
0.23,6040.0,PUT,48.05,0.5,41.98,-6.07,0.252,0.2421
0.23,6225.0,PUT,63.75,0.5,58.92,-4.83,0.2331,0.2268
0.23,6380.0,PUT,81.05,0.5,77.78,-3.27,0.217,0.2134
0.23,6490.0,PUT,96.2,0.6,94.46,-1.74,0.2051,0.2034
0.23,6600.0,PUT,115.05,0.9,114.52,-0.53,0.1935,0.193
0.23,6705.0,PUT,136.85,0.7,137.51,0.66,0.1821,0.1826
0.23,6810.0,PUT,163.75,0.7,165.15,1.4,0.1708,0.1719
0.23,6925.0,CALL,216.4,0.8,218.03,1.63,0.1585,0.1597
0.23,7025.0,CALL,157.7,0.8,158.61,0.91,0.1484,0.1491
0.23,7150.0,CALL,97.55,0.7,97.28,-0.27,0.1368,0.1366
0.23,7280.0,CALL,53.4,0.6,52.38,-1.02,0.1273,0.1262
0.23,7400.0,CALL,28.3,0.4,27.79,-0.51,0.1213,0.1206
0.23,7550.0,CALL,12.2,0.4,12.44,0.24,0.1178,0.1184
0.23,7800.0,CALL,3.05,0.3,3.44,0.39,0.1185,0.1207
0.271,5500.0,PUT,29.55,0.5,20.69,-8.86,0.3035,0.2807
0.271,5860.0,PUT,45.75,0.9,38.85,-6.9,0.2657,0.2541
0.271,6025.0,PUT,57.1,0.6,51.28,-5.82,0.2495,0.2413
0.271,6190.0,PUT,71.8,0.8,67.28,-4.52,0.2334,0.2281
0.271,6360.0,PUT,91.5,1.0,88.55,-2.95,0.2168,0.2138
0.271,6525.0,PUT,117.35,0.5,115.18,-2.17,0.2012,0.1993
0.271,6630.0,PUT,136.4,1.0,136.01,-0.39,0.19,0.1897
0.271,6735.0,PUT,160.1,1.2,160.62,0.52,0.1794,0.1798
0.271,6840.0,PUT,188.5,1.4,189.85,1.35,0.1685,0.1695
0.271,6960.0,CALL,220.35,1.5,220.25,-0.1,0.1577,0.1576
0.271,7060.0,CALL,164.6,0.8,162.56,-2.04,0.1492,0.1477
0.271,7210.0,CALL,96.1,0.6,92.84,-3.26,0.1367,0.1341
0.271,7370.0,CALL,47.9,0.6,44.98,-2.92,0.1268,0.1239
0.271,7725.0,CALL,7.85,0.3,8.21,0.36,0.1184,0.1194
0.309,5600.0,PUT,39.2,0.6,31.25,-7.95,0.2867,0.2712
0.309,6100.0,PUT,73.2,0.8,68.17,-5.03,0.2396,0.2338
0.309,6575.0,PUT,138.95,0.7,137.89,-1.06,0.1953,0.1945
0.309,6740.0,PUT,175.5,0.8,175.71,0.21,0.1795,0.1797
0.309,6900.0,CALL,279.9,1.0,280.01,0.11,0.1647,0.1648
0.309,7070.0,CALL,178.9,2.6,177.83,-1.07,0.1496,0.1489
0.309,7475.0,CALL,38.2,0.6,36.13,-2.07,0.1243,0.122
0.364,5350.0,PUT,36.75,0.5,28.15,-8.6,0.3038,0.2858
0.364,5850.0,PUT,64.6,0.6,58.12,-6.48,0.2588,0.2506
0.364,6125.0,PUT,89.85,0.7,84.97,-4.88,0.235,0.2301
0.364,6280.0,PUT,108.4,0.8,104.84,-3.56,0.2213,0.2182
0.364,6450.0,PUT,134.3,0.8,131.73,-2.57,0.2066,0.2047
0.364,6620.0,PUT,166.5,0.8,165.38,-1.12,0.1914,0.1907
0.364,6780.0,PUT,205.8,1.0,205.08,-0.72,0.1775,0.177
0.364,6950.0,CALL,279.1,0.6,277.76,-1.34,0.163,0.1622
0.364,7120.0,CALL,181.6,1.0,179.73,-1.87,0.1488,0.1476
0.364,7275.0,CALL,113.05,0.7,109.45,-3.6,0.1381,0.1356
0.364,7525.0,CALL,44.8,0.6,41.6,-3.2,0.1263,0.1232
0.364,8300.0,CALL,1.9,0.2,2.21,0.31,0.1244,0.1268
0.397,5600.0,PUT,53.4,0.6,46.41,-6.99,0.2772,0.2669
0.397,6040.0,PUT,88.15,0.7,83.47,-4.68,0.2402,0.2356
0.397,6220.0,PUT,109.45,0.7,105.38,-4.07,0.2257,0.2222
0.397,6375.0,PUT,131.45,0.7,128.54,-2.91,0.2125,0.2103
0.397,6510.0,PUT,154.95,0.7,152.71,-2.24,0.2013,0.1997
0.397,6625.0,PUT,178.3,0.8,176.86,-1.44,0.1914,0.1905
0.397,6730.0,PUT,202.65,0.9,202.32,-0.33,0.1821,0.1819
0.397,6840.0,PUT,234.1,1.0,233.19,-0.91,0.1733,0.1727
0.397,6945.0,CALL,296.35,0.9,298.25,1.9,0.1628,0.1639
0.397,7045.0,CALL,236.8,1.2,237.64,0.84,0.1551,0.1556
0.397,7190.0,CALL,162.1,0.8,161.14,-0.96,0.1446,0.144
0.397,7525.0,CALL,52.7,0.6,50.17,-2.53,0.127,0.1248
0.444,5250.0,PUT,42.7,0.6,34.44,-8.26,0.3034,0.2885
0.444,5750.0,PUT,71.8,0.6,65.86,-5.94,0.2616,0.2547
0.444,6160.0,PUT,113.25,0.9,109.13,-4.12,0.2292,0.2258
0.444,6330.0,PUT,137.25,1.1,133.99,-3.26,0.2157,0.2133
0.444,6510.0,PUT,168.4,1.2,166.34,-2.06,0.2011,0.1998
0.444,6675.0,PUT,203.6,1.2,202.87,-0.73,0.1875,0.1871
0.444,6840.0,PUT,247.75,1.3,247.85,0.1,0.174,0.1741
0.444,7030.0,CALL,271.0,1.6,270.06,-0.94,0.1596,0.159
0.444,7200.0,CALL,180.45,1.1,178.4,-2.05,0.1473,0.1461
0.444,7360.0,CALL,114.8,1.2,111.08,-3.72,0.1378,0.1354
0.444,7850.0,CALL,20.1,0.8,19.82,-0.28,0.1221,0.1216
0.539,5400.0,PUT,63.3,0.6,56.26,-7.04,0.2835,0.2746
0.539,5900.0,PUT,104.75,0.9,99.22,-5.53,0.2467,0.242
0.539,6400.0,PUT,175.7,1.2,171.25,-4.45,0.2108,0.208
0.539,6900.0,CALL,400.15,1.7,398.72,-1.43,0.1733,0.1726
0.539,7375.0,CALL,148.1,1.2,144.2,-3.9,0.1426,0.1405
0.539,7875.0,CALL,33.1,0.8,31.02,-2.08,0.126,0.1238
0.616,5425.0,PUT,75.5,0.4,69.42,-6.08,0.2771,0.2704
0.616,5925.0,PUT,122.3,0.8,117.5,-4.8,0.2427,0.239
0.616,6425.0,PUT,200.1,0.8,195.42,-4.68,0.2093,0.2067
0.616,6925.0,CALL,420.0,1.4,418.86,-1.14,0.1739,0.1734
0.616,7400.0,CALL,167.8,1.0,165.32,-2.48,0.1448,0.1436
0.616,7900.0,CALL,42.95,0.7,40.95,-2.0,0.1277,0.126
0.649,5550.0,PUT,89.9,0.6,84.66,-5.24,0.2668,0.2618
0.649,6050.0,PUT,145.65,0.7,140.48,-5.17,0.2342,0.2307
0.649,6350.0,PUT,193.75,0.7,189.01,-4.74,0.2144,0.2117
0.649,6450.0,PUT,213.4,0.8,208.58,-4.82,0.2079,0.2053
0.649,6545.0,PUT,233.65,0.7,229.04,-4.61,0.2015,0.1991
0.649,6645.0,PUT,256.9,0.8,252.79,-4.11,0.1947,0.1927
0.649,6745.0,PUT,267.0,0.8,279.08,12.08,0.1804,0.1862
0.649,6850.0,PUT,312.95,0.7,309.79,-3.16,0.1808,0.1794
0.649,6970.0,CALL,406.0,1.2,405.52,-0.48,0.1718,0.1716
0.649,7075.0,CALL,368.4,1.2,342.0,-26.4,0.1768,0.1649
0.649,7170.0,CALL,313.75,1.3,288.63,-25.12,0.1703,0.1589
0.649,7270.0,CALL,237.65,0.9,237.21,-0.44,0.153,0.1528
0.649,7450.0,CALL,160.8,1.4,158.69,-2.11,0.1438,0.1427
0.693,5275.0,PUT,75.2,0.8,69.27,-5.93,0.2837,0.2772
0.693,5775.0,PUT,119.4,1.0,114.49,-4.91,0.2509,0.2471
0.693,6275.0,PUT,190.8,1.2,185.52,-5.28,0.2195,0.2165
0.693,6750.0,PUT,295.1,1.4,291.94,-3.16,0.1883,0.1869
0.693,7250.0,CALL,267.35,1.7,266.22,-1.13,0.1566,0.1561
0.693,7750.0,CALL,86.55,1.3,83.38,-3.17,0.1345,0.1326
0.789,5300.0,PUT,89.15,0.9,84.04,-5.11,0.278,0.2732
0.789,5800.0,PUT,139.35,0.9,134.42,-4.93,0.2477,0.2444
0.789,6300.0,PUT,217.35,1.3,211.33,-6.02,0.2185,0.2153
0.789,6775.0,PUT,327.45,1.5,323.23,-4.22,0.1894,0.1876
0.789,7275.0,CALL,295.35,1.9,294.6,-0.75,0.1594,0.1591
0.789,7775.0,CALL,107.0,1.4,104.22,-2.78,0.1378,0.1363
0.865,5325.0,PUT,100.05,0.7,96.37,-3.68,0.2732,0.2701
0.865,5825.0,PUT,154.3,0.8,150.87,-3.43,0.2444,0.2423
0.865,6325.0,PUT,237.25,0.9,232.48,-4.77,0.2167,0.2144
0.865,6800.0,PUT,352.05,1.1,348.82,-3.23,0.1893,0.188
0.865,7300.0,CALL,312.7,1.4,314.59,1.89,0.1603,0.1611
0.865,7800.0,CALL,120.85,0.9,120.43,-0.42,0.1393,0.1391
0.901,5450.0,PUT,114.85,0.7,113.06,-1.79,0.2639,0.2626
0.901,5900.0,PUT,169.4,0.8,167.37,-2.03,0.2391,0.2379
0.901,6100.0,PUT,200.8,0.8,198.43,-2.37,0.2283,0.227
0.901,6235.0,PUT,224.65,0.9,222.39,-2.26,0.2207,0.2196
0.901,6435.0,PUT,265.3,0.8,263.05,-2.25,0.2097,0.2087
0.901,6590.0,PUT,301.15,0.9,299.5,-1.65,0.201,0.2002
0.901,6705.0,PUT,330.95,0.9,329.74,-1.21,0.1945,0.194
0.901,6845.0,PUT,370.4,1.2,370.75,0.35,0.1863,0.1864
0.901,6960.0,CALL,521.95,4.9,523.32,1.37,0.1797,0.1802
0.901,7090.0,CALL,440.8,1.4,444.56,3.76,0.1719,0.1734
0.901,7200.0,CALL,377.9,1.0,382.3,4.4,0.1659,0.1676
0.901,7315.0,CALL,316.1,3.4,321.98,5.88,0.1595,0.1618
0.901,7475.0,CALL,242.45,0.9,247.09,4.64,0.1522,0.1541
0.901,7680.0,CALL,165.2,1.0,168.13,2.93,0.1439,0.1452
0.901,7930.0,CALL,98.0,0.8,98.87,0.87,0.1363,0.1367
0.901,8090.0,CALL,68.65,0.7,68.8,0.15,0.1329,0.1329
0.942,5175.0,PUT,94.75,0.9,93.14,-1.61,0.2782,0.2768
0.942,5675.0,PUT,144.45,1.3,144.25,-0.2,0.25,0.2498
0.942,6175.0,PUT,219.85,1.3,219.37,-0.48,0.2233,0.223
0.942,6675.0,PUT,329.85,1.9,330.7,0.85,0.1961,0.1964
0.942,7175.0,CALL,409.6,1.8,413.58,3.98,0.1689,0.1704
0.942,7650.0,CALL,188.75,1.5,193.06,4.31,0.1465,0.1483
0.942,8600.0,CALL,24.95,0.7,24.99,0.04,0.129,0.129
1.038,5875.0,PUT,185.2,1.8,186.89,1.69,0.2379,0.2388
1.038,6600.0,PUT,328.35,1.9,331.3,2.95,0.2008,0.202
1.038,7250.0,CALL,404.65,2.3,412.74,8.09,0.1672,0.1701
1.038,8000.0,CALL,114.45,1.7,119.36,4.91,0.1382,0.1405
1.114,5525.0,PUT,149.35,0.9,151.25,1.9,0.2548,0.256
1.114,6050.0,PUT,226.3,1.2,228.48,2.18,0.2289,0.2299
1.114,6550.0,PUT,331.1,1.4,334.38,3.28,0.2042,0.2055
1.114,7050.0,CALL,546.75,1.9,556.74,9.99,0.1783,0.1818
1.114,7550.0,CALL,284.15,1.7,296.38,12.23,0.1553,0.1597
1.114,8600.0,CALL,41.05,0.7,43.16,2.11,0.1308,0.1325
