T,K,Type,Market,Model,Err,IV_Mkt,IV_Model
0.144,622.0,PUT,3.29,3.26,-0.02,0.2385,0.238
0.144,635.0,PUT,4.3,4.26,-0.04,0.2235,0.2227
0.144,648.0,PUT,5.68,5.62,-0.06,0.2083,0.2075
0.144,662.0,PUT,7.71,7.64,-0.07,0.1917,0.1908
0.144,675.0,PUT,10.32,10.24,-0.09,0.1759,0.175
0.144,716.0,CALL,4.43,5.06,0.63,0.1178,0.1254
0.144,730.0,CALL,1.58,1.91,0.32,0.1099,0.116
0.144,743.0,CALL,0.59,0.74,0.15,0.1087,0.1138
0.144,790.0,CALL,0.06,0.07,0.01,0.1319,0.1344
0.191,545.0,PUT,1.48,1.45,-0.03,0.3223,0.3212
0.191,610.0,PUT,3.81,3.86,0.04,0.246,0.2468
0.191,656.0,PUT,8.67,8.7,0.03,0.1965,0.1969
0.191,669.0,PUT,11.12,11.11,-0.01,0.1824,0.1824
0.191,710.0,CALL,9.46,10.01,0.55,0.131,0.1359
0.191,724.0,CALL,4.53,4.82,0.29,0.12,0.1232
0.191,737.0,CALL,2.02,2.19,0.17,0.1138,0.1165
0.191,750.0,CALL,0.87,0.98,0.11,0.1116,0.1146
0.226,495.0,PUT,1.14,1.04,-0.1,0.3757,0.3698
0.226,560.0,PUT,2.31,2.33,0.01,0.2954,0.2958
0.226,613.0,PUT,4.97,5.06,0.09,0.2393,0.2406
0.226,627.0,PUT,6.21,6.3,0.09,0.2251,0.2263
0.226,640.0,PUT,7.69,7.77,0.09,0.212,0.213
0.226,653.0,PUT,9.56,9.63,0.07,0.1989,0.1996
0.226,667.0,PUT,12.19,12.2,0.01,0.1847,0.1848
0.226,708.0,CALL,12.6,13.05,0.45,0.1375,0.1411
0.226,725.0,CALL,5.89,6.07,0.18,0.1242,0.1259
0.226,741.0,CALL,2.47,2.54,0.07,0.1164,0.1174
0.226,770.0,CALL,0.48,0.53,0.05,0.115,0.1168
0.268,495.0,PUT,1.5,1.34,-0.16,0.3635,0.3563
0.268,560.0,PUT,2.99,2.99,-0.0,0.2894,0.2893
0.268,625.0,PUT,7.28,7.35,0.08,0.2255,0.2264
0.268,660.0,PUT,12.39,12.41,0.01,0.1922,0.1923
0.268,707.0,CALL,15.84,15.95,0.11,0.1446,0.1454
0.268,750.0,CALL,2.42,2.33,-0.1,0.1189,0.1175
0.268,820.0,CALL,0.12,0.14,0.02,0.1295,0.1315
0.306,525.0,PUT,2.41,2.35,-0.06,0.3191,0.3175
0.306,588.0,PUT,5.05,5.18,0.13,0.2569,0.2588
0.306,602.0,PUT,6.06,6.23,0.16,0.2439,0.246
0.306,615.0,PUT,7.22,7.41,0.18,0.2321,0.2341
0.306,629.0,PUT,8.76,8.95,0.19,0.2194,0.2213
0.306,642.0,PUT,10.52,10.71,0.19,0.2076,0.2093
0.306,655.0,PUT,12.69,12.85,0.16,0.1959,0.1972
0.306,669.0,PUT,15.62,15.71,0.09,0.1834,0.184
0.306,730.0,CALL,8.06,7.93,-0.13,0.1307,0.1296
0.306,795.0,CALL,0.43,0.44,0.01,0.1199,0.1204
0.361,505.0,PUT,2.54,2.37,-0.17,0.3318,0.3271
0.361,570.0,PUT,5.07,5.1,0.03,0.27,0.2705
0.361,635.0,PUT,11.28,11.37,0.09,0.2141,0.2148
0.361,730.0,CALL,10.42,10.34,-0.08,0.1349,0.1344
0.361,795.0,CALL,0.75,0.73,-0.02,0.12,0.1194
0.361,860.0,CALL,0.1,0.12,0.03,0.1343,0.1385
0.393,530.0,PUT,3.62,3.59,-0.03,0.3018,0.3012
0.393,562.0,PUT,5.52,5.19,-0.33,0.2793,0.2746
0.393,576.0,PUT,5.99,6.11,0.12,0.2616,0.2631
0.393,589.0,PUT,6.97,7.11,0.14,0.2508,0.2524
0.393,602.0,PUT,8.13,8.29,0.16,0.2401,0.2417
0.393,616.0,PUT,9.63,9.8,0.16,0.2287,0.2302
0.393,629.0,PUT,11.29,11.45,0.16,0.2181,0.2194
0.393,642.0,PUT,13.27,13.42,0.15,0.2075,0.2086
0.393,725.0,CALL,13.28,13.88,0.6,0.1368,0.1406
0.393,790.0,CALL,1.11,1.15,0.04,0.1182,0.1191
0.393,855.0,CALL,0.14,0.17,0.03,0.1305,0.1336
0.478,540.0,PUT,5.26,5.2,-0.06,0.2864,0.2856
0.478,605.0,PUT,10.54,10.54,-0.0,0.2366,0.2365
0.478,643.0,PUT,16.12,16.02,-0.1,0.2084,0.2078
0.478,665.0,PUT,20.73,20.54,-0.19,0.1921,0.191
0.478,706.0,CALL,27.24,27.89,0.64,0.1568,0.1602
0.478,719.0,CALL,20.28,20.83,0.55,0.148,0.1509
0.478,785.0,CALL,2.56,2.48,-0.09,0.1226,0.1215
0.612,505.0,PUT,5.12,4.91,-0.21,0.3037,0.3006
0.612,575.0,PUT,9.98,9.97,-0.01,0.2538,0.2537
0.612,640.0,PUT,19.17,18.99,-0.18,0.2114,0.2104
0.612,730.0,CALL,21.22,21.76,0.54,0.1496,0.1522
0.612,800.0,CALL,3.21,3.1,-0.11,0.1258,0.1247
0.612,865.0,CALL,0.48,0.5,0.02,0.1258,0.1265
0.645,515.0,PUT,5.96,5.81,-0.15,0.2938,0.2918
0.645,585.0,PUT,11.61,11.61,0.0,0.2462,0.2462
0.645,605.0,PUT,14.14,14.1,-0.05,0.2336,0.2332
0.645,618.0,PUT,16.07,15.99,-0.09,0.2253,0.2248
0.645,632.0,PUT,18.46,18.32,-0.14,0.2166,0.2157
0.645,645.0,PUT,20.97,20.79,-0.18,0.2083,0.2073
0.645,658.0,PUT,23.84,23.61,-0.22,0.2,0.1989
0.645,672.0,PUT,27.4,27.11,-0.29,0.1913,0.1899
0.645,745.0,CALL,15.79,16.73,0.94,0.1412,0.1459
0.645,815.0,CALL,2.3,2.31,0.01,0.1241,0.1242
0.645,880.0,CALL,0.38,0.42,0.04,0.1264,0.1282
0.862,540.0,PUT,10.42,10.25,-0.17,0.2683,0.2668
0.862,610.0,PUT,19.36,19.07,-0.29,0.2298,0.2282
0.862,675.0,PUT,33.98,33.44,-0.54,0.1952,0.1929
0.862,765.0,CALL,16.57,17.55,0.99,0.1441,0.1485
0.862,835.0,CALL,3.46,3.4,-0.05,0.1294,0.1289
0.897,485.0,PUT,6.78,6.39,-0.39,0.3002,0.2957
0.897,550.0,PUT,11.8,11.69,-0.11,0.2611,0.2603
0.897,620.0,PUT,21.74,21.49,-0.25,0.2239,0.2226
0.897,637.0,PUT,25.15,24.84,-0.31,0.2151,0.2136
0.897,653.0,PUT,28.81,28.45,-0.36,0.2067,0.2051
0.897,668.0,PUT,32.85,32.3,-0.55,0.1995,0.1973
0.897,713.0,CALL,41.47,43.04,1.57,0.1681,0.1742
0.897,740.0,CALL,27.29,29.1,1.81,0.154,0.1612
0.897,805.0,CALL,7.34,8.03,0.68,0.1323,0.1364
0.897,870.0,CALL,1.69,1.66,-0.03,0.1277,0.1272
0.938,525.0,PUT,9.94,9.77,-0.17,0.2739,0.2725
0.938,590.0,PUT,17.39,17.28,-0.11,0.2389,0.2382
0.938,655.0,PUT,30.17,29.83,-0.34,0.206,0.2046
0.938,750.0,CALL,24.38,26.25,1.87,0.1511,0.1585
0.938,815.0,CALL,6.6,7.19,0.59,0.132,0.1356
0.938,880.0,CALL,1.6,1.55,-0.05,0.1285,0.1277
1.111,535.0,PUT,12.91,12.66,-0.25,0.2643,0.2626
1.111,600.0,PUT,21.86,21.65,-0.21,0.2329,0.2319
1.111,665.0,PUT,36.33,36.04,-0.29,0.203,0.2019
1.111,760.0,CALL,26.45,28.47,2.02,0.154,0.1614
1.111,825.0,CALL,8.27,9.21,0.94,0.1353,0.1404
1.111,895.0,CALL,2.13,2.1,-0.03,0.1305,0.1301
